"StateID","StateName","DistrictID","DistrictCensusCode2011","DistrictName","TotalBlock","TotalODFBlock","Date"
"26","A & N Islands","577","638","NICOBARS","1","1","10/30/2023 12:00:00 AM"
"26","A & N Islands","577","638","NICOBARS","3","1","10/30/2023 12:00:00 AM"
"26","A & N Islands","578","639","NORTH AND MIDDLE ANDAMAN","3","3","10/30/2023 12:00:00 AM"
"26","A & N Islands","576","640","SOUTH ANDAMANS","3","3","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","1366","805","ALLURI SITHARAMA RAJU","22","22","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","1367","804","ANAKAPALLI","24","24","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","1","553","ANANTAPUR","31","31","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","1368","813","ANNAMAYYA","30","30","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","1369","810","BAPATLA","25","25","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","2","554","CHITTOOR","31","31","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","3","551","CUDDAPAH","35","35","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","4","545","EAST GODAVARI","18","18","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","1370","808","ELURU","27","27","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","1370","808","ELURU","28","27","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","5","548","GUNTUR","15","15","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","5","548","GUNTUR","16","15","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","1371","806","KAKINADA","20","20","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","1372","807","KONASEEMA","22","22","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","6","547","KRISHNA","25","25","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","7","552","KURNOOL","25","25","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","1373","815","NANDYAL","28","28","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","8","550","NELLORE","37","37","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","1374","809","NTR","16","16","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","1375","811","PALNADU","28","28","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","1376","803","PARVATHIPURAM MANYAM","15","15","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","9","549","PRAKASAM","38","38","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","1377","814","Sri Sathya Sai","32","32","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","10","542","SRIKAKULAM","30","30","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","1378","812","TIRUPATI","33","33","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","11","544","VISAKHAPATNAM","4","4","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","12","543","VIZIANAGARAM","27","27","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","13","546","WEST GODAVARI","19","20","10/30/2023 12:00:00 AM"
"1","Andhra Pradesh","13","546","WEST GODAVARI","20","20","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","29","260","ANJAW","4","4","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","14","253","CHANGLANG","9","9","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","15","257","DIBANG VALLEY","3","3","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","16","247","EAST KAMENG","7","7","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","17","251","EAST SIANG","3","3","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","759","778","KAMLE","2","2","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","728","763","KRA-DAADI","6","6","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","28","256","KURUNG KUMEY","6","6","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","761","784","LAPA RADA","3","3","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","18","259","LOHIT","2","2","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","729","761","LONGDING","4","4","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","27","258","LOWER DIBANG VALLEY","3","3","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","758","779","LOWER SIANG","3","3","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","19","255","LOWER SUBANSIRI","4","4","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","730","762","NAMSAI","3","3","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","760","783","PAKKE-KESSANG","2","2","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","20","248","PAPUM PARE","6","6","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","762","785","SHI YOMI","2","2","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","731","764","SIANG","6","6","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","21","245","TAWANG","6","6","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","22","254","TIRAP","5","5","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","23","252","UPPER SIANG","6","6","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","24","249","UPPER SUBANSIRI","10","10","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","25","246","WEST KAMENG","5","5","10/30/2023 12:00:00 AM"
"2","Arunachal Pradesh","26","250","WEST SIANG","4","4","10/30/2023 12:00:00 AM"
"3","Assam","1384","799","BAJALI","2","2","10/30/2023 12:00:00 AM"
"3","Assam","53","324","BAKSA","5","9","10/30/2023 12:00:00 AM"
"3","Assam","53","324","BAKSA","9","9","10/30/2023 12:00:00 AM"
"3","Assam","30","303","BARPETA","9","9","10/30/2023 12:00:00 AM"
"3","Assam","739","756","BISWANATH","7","7","10/30/2023 12:00:00 AM"
"3","Assam","31","319","BONGAIGAON","5","5","10/30/2023 12:00:00 AM"
"3","Assam","32","316","CACHAR","15","15","10/30/2023 12:00:00 AM"
"3","Assam","740","755","CHARAIDEO","5","5","10/30/2023 12:00:00 AM"
"3","Assam","54","320","CHIRANG","3","4","10/30/2023 12:00:00 AM"
"3","Assam","54","320","CHIRANG","4","4","10/30/2023 12:00:00 AM"
"3","Assam","33","325","DARRANG","6","6","10/30/2023 12:00:00 AM"
"3","Assam","34","308","DHEMAJI","5","5","10/30/2023 12:00:00 AM"
"3","Assam","35","301","DHUBRI","13","13","10/30/2023 12:00:00 AM"
"3","Assam","36","310","DIBRUGARH","7","7","10/30/2023 12:00:00 AM"
"3","Assam","47","315","DIMA HASAO","5","5","10/30/2023 12:00:00 AM"
"3","Assam","37","302","GOALPARA","8","8","10/30/2023 12:00:00 AM"
"3","Assam","38","313","GOLAGHAT","8","8","10/30/2023 12:00:00 AM"
"3","Assam","39","318","HAILAKANDI","5","5","10/30/2023 12:00:00 AM"
"3","Assam","741","757","HOJAI","5","5","10/30/2023 12:00:00 AM"
"3","Assam","40","312","JORHAT","6","6","10/30/2023 12:00:00 AM"
"3","Assam","41","321","KAMRUP","14","14","10/30/2023 12:00:00 AM"
"3","Assam","56","322","KAMRUP METROPOLITAN","4","4","10/30/2023 12:00:00 AM"
"3","Assam","42","314","KARBI ANGLONG","7","7","10/30/2023 12:00:00 AM"
"3","Assam","43","317","KARIMGANJ","7","7","10/30/2023 12:00:00 AM"
